ASSET_ID,RELATIVE_PATH,PRIMARY_CATEGORY,PRODUCT_SURFACES,CONTENT_OBJECT_CANDIDATES,SOURCE_STATUS
HFM-A000001,.DS_Store,20 其他待判定资料,"SEARCH,RESEARCH",DOCUMENT|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000002,皇甫谧/.DS_Store,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000003,皇甫谧/其传/其传.docx,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000004,皇甫谧/其言/其言.docx,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000005,皇甫谧/后论/后论.docx,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000006,皇甫谧/皇甫谧电影/.videothumbnail.db,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000007,皇甫谧/皇甫谧电影/《针灸鼻祖皇甫谧》第1集 大器晚成.mpg,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000008,皇甫谧/皇甫谧电影/皇甫谧一.mpg,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000009,皇甫谧画像.jpeg,01 皇甫谧人物资料,"PERSON,SEARCH",PERSON|TIMELINE_ENTRY|SOURCE_RECORD,NEEDS_REVIEW
HFM-A000010,针灸甲乙经/.DS_Store,04 针灸甲乙经,"JIAYI,SEARCH,RESEARCH",WORK|BOOK|BOOK_EDITION|BOOK_PAGE|PAPER|SOURCE_RECORD|ACUPUNCTURE_CONCEPT|ACUPOINT|MERIDIAN|DISEASE|TREATMENT,NEEDS_REVIEW
