object_key,privacy_class,previous_privacy_class,rationale,publication_route
非遗佐证/02 领办人荣誉及获奖/1、平凉市名中医.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/2、甘肃省先进工作者.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/3、甘肃省名中医.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/4、首届平凉名医.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/5、崆峒工匠.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/6、甘肃高层次专业技术人才津贴人员.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2016年优秀院长.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2017优秀院长.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2018优秀院长.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2019优秀院长.pdf,P2,P2,领办人荣誉及获奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/03 非遗传承人资质/皇甫谧针灸市级非物质文化遗产代表性传承人认定文件.pdf,P2,P2,非遗代表性传承人认定文件：含身份信息与文号,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/04 学术兼职/1、甘肃省高等学校医学类专业教学指导、认证与教材建设委员会委员聘书.pdf,P2,P2,学术兼职聘书：含聘书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/04 学术兼职/2、省针灸学会副会长.pdf,P2,P2,学术兼职聘书：含聘书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/04 学术兼职/3、市针灸学会会长.pdf,P2,P2,学术兼职聘书：含聘书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/04 学术兼职/4、2023中国针灸学会非物质文化遗产工作委员会委员.pdf,P2,P2,学术兼职聘书：含聘书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/04 学术兼职/5、2025全国综合及医科大学针灸推拿学联盟副理事长.pdf,P2,P2,学术兼职聘书：含聘书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/04 学术兼职/6、全国针灸推拿学行业产教融合共同体副理事长聘书或证明文件.pdf,P2,P2,学术兼职聘书：含聘书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/刘君奇 科研列表.docx,P1,P2,科研列表：公开学术成就清单，无证书编号,直接公开
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步三等奖.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖2.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖3.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖4.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖5.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖6.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖7.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖8.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/1、市级科研成果奖证书复印件/市科技进步二等奖9.pdf,P2,P2,科技进步奖证书：含证书编号与签发签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/2、刘君奇发表论文/刘君奇发表论文清单.docx,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响/（封面）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响/（正文）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响/（目录）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响/（首页）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/封面.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/目录.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/首页.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文1.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文2.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文3.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文4.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文5.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/2、刘君奇发表论文/皇甫谧滞通针法临床应用/正文6.pdf,P1,P2,已公开发表的期刊论文（封面/目录/首页/正文）,直接公开
非遗佐证/05 技术成果/3、主持、参与的市、厅级中医药课题立项或结题证明复印件（十余项）/19社科联项目结题证明.jpg,P2,P2,课题立项/结题证明：含文号与负责人身份信息,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/05 技术成果/3、主持、参与的市、厅级中医药课题立项或结题证明复印件（十余项）/19社科联项目立项证明.pdf,P2,P2,课题立项/结题证明：含文号与负责人身份信息,脱敏 derivative 后公开（政策 §4.1）
