BATCH_ID,ASSET_ID,SOURCE_PATH,SHA256,FILE_TYPE,CONTENT_CATEGORY,CONTENT_OBJECT_TYPE,SELECTION_REASON,PROCESSING_METHOD,EXPECTED_OUTPUT,SOURCE_STATUS,RIGHTS_STATUS
B02,HFM-A000533,针灸甲乙经/论著/《甲乙经》五车楼藏板（明万历吴勉学）/《甲乙经》五车楼藏板 2.pdf,44e170b23c50d17ce2d26f61f8fe3b9473c99075119be179c0d47278fe34c493,PDF,JIAYI_EDITION,SCANNED_OLD_BOOK,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000537,针灸甲乙经/论著/《甲乙经》行素草堂藏板清光绪/《甲乙经》行素草堂藏板清光绪卷一二.pdf,72718411151893e65aebce4927d406cd002fbd188d273ccaee7fac9f7c6d9ef6,PDF,JIAYI_EDITION,SCANNED_OLD_BOOK,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000542,针灸甲乙经/论著/《针灸甲乙经》医统正脉全书明万历29年吴勉学（1601）/《针灸甲乙经》医统正脉全书1.pdf,222f8720504c492b7b4c71596fa3c64ac2fdeff8ca3ab2a8a9fc99a89f96df07,PDF,JIAYI_EDITION,SCANNED_OLD_BOOK,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000547,针灸甲乙经/论著/《针灸甲乙经》四库全书本清乾隆/《针灸甲乙经》四库全书本卷一.pdf,e7bab244a7b94e9d6c2c0f945249787eb61e3ada89849d6746628fd81a0d7b6a,PDF,JIAYI_EDITION,SCANNED_OLD_BOOK,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000551,针灸甲乙经/论著/《针灸甲乙经》四库全书本清乾隆/《针灸甲乙经》四库全书本卷八九.pdf,887ce17089f570bb6bcbfb1825912ed5493853e283320386a0b675d2a828f5d1,PDF,JIAYI_EDITION,SCANNED_OLD_BOOK,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000560,针灸甲乙经/论著/甲乙经全册1.pdf,796aab136ad1dbbc37057c2d2888e8898da9a28bce1f7f4956c22ee953222968,PDF,JIAYI_EDITION,SCANNED_OLD_BOOK,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000564,针灸甲乙经/论著/皇帝甲乙经/《黄帝三部针灸甲乙经》上海科学技术出版社2017/《黄帝三部针灸甲乙经》上海科学技术出版社2017（三）.pdf,cec2468150898bafaba49173fd8832f8804cc84678f2290b1786ead46fd37692,PDF,JIAYI,MODERN_BOOK_OR_OTHER,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000569,针灸甲乙经/论著/皇帝甲乙经/《黄帝甲乙经》江左书林印1977曹智涵校正/《黄帝甲乙经》江左书林印1977曹智涵校正3.pdf,dde73563a3291ca08bac956ff3315ab1cbace16906940404fb7c48917a528d17,PDF,JIAYI,MODERN_BOOK_OR_OTHER,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000574,针灸甲乙经/论著/皇帝甲乙经/帝王世纪/《帝王世纪、山海经、逸周书》1996.pdf,261e8973f77512de8a922b7e5f133330e7fb1196ae19772a9c2cd00d60b9b94c,PDF,JIAYI,MODERN_BOOK_OR_OTHER,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
B02,HFM-A000529,针灸甲乙经/论著/10023266.pdf,765652180b12950fb7a8676a91c9dcd7826946802e5ef553d3e513f33341ca9f,PDF,JIAYI,MODERN_BOOK_OR_OTHER,b02 controlled-scale representative sample,PROFILE_THEN_ROUTE_A_B_C,page-map + extracted-text/raw-ocr,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION
