BATCH_ID,DOCUMENT_ID,ASSET_ID,TITLE,AUTHOR,DATE,PUBLICATION,DOCUMENT_TYPE,LANGUAGE,EDITION,PAGE_COUNT,PRIMARY_CATEGORY,SOURCE_STATUS,RIGHTS_STATUS,REVIEW_STATUS
B02,HFM-DOC-0533,HFM-A000533,《甲乙经》五车楼藏板 2,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,《甲乙经》五车楼藏板（明万历吴勉学）,176,JIAYI_EDITION,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0537,HFM-A000537,《甲乙经》行素草堂藏板清光绪卷一二,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,《甲乙经》行素草堂藏板清光绪,132,JIAYI_EDITION,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0542,HFM-A000542,《针灸甲乙经》医统正脉全书1,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,《针灸甲乙经》医统正脉全书明万历29年吴勉学（1601）,162,JIAYI_EDITION,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0547,HFM-A000547,《针灸甲乙经》四库全书本卷一,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,《针灸甲乙经》四库全书本清乾隆,102,JIAYI_EDITION,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0551,HFM-A000551,《针灸甲乙经》四库全书本卷八九,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,《针灸甲乙经》四库全书本清乾隆,98,JIAYI_EDITION,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0560,HFM-A000560,甲乙经全册1,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,甲乙经全册1.pdf,213,JIAYI_EDITION,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0564,HFM-A000564,《黄帝三部针灸甲乙经》上海科学技术出版社2017（三）,UNKNOWN,2017,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,125,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0569,HFM-A000569,《黄帝甲乙经》江左书林印1977曹智涵校正3,UNKNOWN,1977,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,69,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0574,HFM-A000574,《帝王世纪、山海经、逸周书》1996,UNKNOWN,1996,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,84,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0529,HFM-A000529,10023266,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,243,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0557,HFM-A000557,《针灸甲乙经理论与实践》中国中医药出版社2017高树中,UNKNOWN,2017,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,443,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0581,HFM-A000581,《针灸甲乙经》学苑出版社2007刘聪,UNKNOWN,2007,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,319,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0587,HFM-A000587,《针灸甲乙经》贵州教育出版社2010贾成文,UNKNOWN,2010,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,686,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0594,HFM-A000594,《针灸甲乙经（二）》广州出版社陈国勇2003,UNKNOWN,2003,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,114,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0600,HFM-A000600,《针灸甲乙经》中国医药科技出版社2011赵燕宜,UNKNOWN,2011,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,332,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0607,HFM-A000607,《针灸甲乙经校释》山东中医学院1979上册+下册 (3),UNKNOWN,1979,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1531,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0613,HFM-A000613,《针灸甲乙经校注》（张灿玾、徐国千）1996（1）,UNKNOWN,1996,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1116,JIAYI,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0013,HFM-A000013,1-《针灸甲乙经》的读法,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,4,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0037,HFM-A000037,15-《针灸甲乙经》便秘治疗的源流探析,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,5,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0050,HFM-A000050,179-皇甫谧与《针灸甲乙经》,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,2,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0062,HFM-A000062,196-《针灸甲乙经》中妇科疾病的取穴规律探析,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,4,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0086,HFM-A000086,225-三才理论在针灸治疗热病中的应用探讨,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,4,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0111,HFM-A000111,253-针灸补泻手法初探,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0135,HFM-A000135,352-经筋刺法的理论渊源及发展,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0160,HFM-A000160,380-关于概括腧穴主治方法的几点思考,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,2,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0184,HFM-A000184,404-神庭穴临证探讨,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0209,HFM-A000209,430-背俞穴概述,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,2,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0233,HFM-A000233,458-(譩)(譆)穴古代文献研究,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0258,HFM-A000258,485-《医学六经》考,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0282,HFM-A000282,507-敦煌《灸经图》足太阳经理论源流探析,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0307,HFM-A000307,530-四肢部古代解剖学名词今译,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0331,HFM-A000331,552-环跳穴的临床应用,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,2,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0356,HFM-A000356,576-身柱穴的临床蜂针治疗功用,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,2,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0380,HFM-A000380,599-针刺治疗奔豚气1例,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,1,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0405,HFM-A000405,621-关于龈交穴与上唇系带的探讨,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,4,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0429,HFM-A000429,652-论肾风病的现代观,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,4,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0454,HFM-A000454,679-关于血海穴简便取穴法准确性的探讨_胡成想,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,1,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0478,HFM-A000478,75-探析《针灸甲乙经》治疗头痛的选穴规律,UNKNOWN,UNKNOWN,UNKNOWN,ACADEMIC_PAPER,ZH,UNKNOWN,3,JIAYI_RESEARCH_PAPER,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0622,HFM-A000622,1、平凉市名中医,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0627,HFM-A000627,6、甘肃高层次专业技术人才津贴人员,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0633,HFM-A000633,皇甫谧针灸市级非物质文化遗产代表性传承人认定文件,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,7,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0638,HFM-A000638,5、2025全国综合及医科大学针灸推拿学联盟副理事长,UNKNOWN,2025,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0644,HFM-A000644,市科技进步二等奖3,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0649,HFM-A000649,市科技进步二等奖8,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0654,HFM-A000654,（首页）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,2,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0660,HFM-A000660,正文4,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0665,HFM-A000665,19社科联项目立项证明,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,3,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0671,HFM-A000671,灵台县,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0676,HFM-A000676,央视图片证明材料,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
B02,HFM-DOC-0685,HFM-A000685,1、甘肃医学院事业单位法人证书复印件,UNKNOWN,UNKNOWN,UNKNOWN,SCANNED_IMAGE_PDF,ZH,UNKNOWN,1,HERITAGE,NEEDS_REVIEW,NEEDS_CUSTOMER_CONFIRMATION,AUTO_EXTRACTED
