BATCH_ID,ASSET_ID,SOURCE_PDF,SHA256,PAGE_NUMBER,OUTPUT_FILE,PAGE_TEXT_CHARS,LAYER,STATUS
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,1,HFM-A000013_raw.txt,1228,TEXT,OK
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,2,HFM-A000013_raw.txt,1578,TEXT,OK
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,3,HFM-A000013_raw.txt,1533,TEXT,OK
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,4,HFM-A000013_raw.txt,1309,TEXT,OK
B02,HFM-A000037,针灸甲乙经/论文/针灸甲乙经/15-《针灸甲乙经》便秘治疗的源流探析.pdf,81c97369d55d317a09975fb9ed186a8508542bf3c877912f58971304903e6eae,1,HFM-A000037_raw.txt,1877,TEXT,OK
B02,HFM-A000037,针灸甲乙经/论文/针灸甲乙经/15-《针灸甲乙经》便秘治疗的源流探析.pdf,81c97369d55d317a09975fb9ed186a8508542bf3c877912f58971304903e6eae,2,HFM-A000037_raw.txt,2007,TEXT,OK
B02,HFM-A000037,针灸甲乙经/论文/针灸甲乙经/15-《针灸甲乙经》便秘治疗的源流探析.pdf,81c97369d55d317a09975fb9ed186a8508542bf3c877912f58971304903e6eae,3,HFM-A000037_raw.txt,1943,TEXT,OK
B02,HFM-A000037,针灸甲乙经/论文/针灸甲乙经/15-《针灸甲乙经》便秘治疗的源流探析.pdf,81c97369d55d317a09975fb9ed186a8508542bf3c877912f58971304903e6eae,4,HFM-A000037_raw.txt,2605,TEXT,OK
B02,HFM-A000037,针灸甲乙经/论文/针灸甲乙经/15-《针灸甲乙经》便秘治疗的源流探析.pdf,81c97369d55d317a09975fb9ed186a8508542bf3c877912f58971304903e6eae,5,HFM-A000037_raw.txt,1831,TEXT,OK
B02,HFM-A000050,针灸甲乙经/论文/针灸甲乙经/179-皇甫谧与《针灸甲乙经》.pdf,12bd6714f50def78ad3c51f449cb4ca70161416403b75699f0d4afb0f0369d57,1,HFM-A000050_raw.txt,1248,TEXT,OK
B02,HFM-A000050,针灸甲乙经/论文/针灸甲乙经/179-皇甫谧与《针灸甲乙经》.pdf,12bd6714f50def78ad3c51f449cb4ca70161416403b75699f0d4afb0f0369d57,2,HFM-A000050_raw.txt,1113,TEXT,OK
B02,HFM-A000062,针灸甲乙经/论文/针灸甲乙经/196-《针灸甲乙经》中妇科疾病的取穴规律探析.pdf,61cca789b100b23bbc12e02a389d5130864f07ed4fe813f88a8bcc9572a5e195,1,HFM-A000062_raw.txt,1878,TEXT,OK
B02,HFM-A000062,针灸甲乙经/论文/针灸甲乙经/196-《针灸甲乙经》中妇科疾病的取穴规律探析.pdf,61cca789b100b23bbc12e02a389d5130864f07ed4fe813f88a8bcc9572a5e195,2,HFM-A000062_raw.txt,1551,TEXT,OK
B02,HFM-A000062,针灸甲乙经/论文/针灸甲乙经/196-《针灸甲乙经》中妇科疾病的取穴规律探析.pdf,61cca789b100b23bbc12e02a389d5130864f07ed4fe813f88a8bcc9572a5e195,3,HFM-A000062_raw.txt,1492,TEXT,OK
B02,HFM-A000062,针灸甲乙经/论文/针灸甲乙经/196-《针灸甲乙经》中妇科疾病的取穴规律探析.pdf,61cca789b100b23bbc12e02a389d5130864f07ed4fe813f88a8bcc9572a5e195,4,HFM-A000062_raw.txt,2086,TEXT,OK
B02,HFM-A000086,针灸甲乙经/论文/针灸甲乙经/225-三才理论在针灸治疗热病中的应用探讨.pdf,e4100039abef7f93a2e5a689a1cd09377005ede0c7c6a95a1d3bd26f5edf7ef2,1,HFM-A000086_raw.txt,1731,TEXT,OK
B02,HFM-A000086,针灸甲乙经/论文/针灸甲乙经/225-三才理论在针灸治疗热病中的应用探讨.pdf,e4100039abef7f93a2e5a689a1cd09377005ede0c7c6a95a1d3bd26f5edf7ef2,2,HFM-A000086_raw.txt,2028,TEXT,OK
B02,HFM-A000086,针灸甲乙经/论文/针灸甲乙经/225-三才理论在针灸治疗热病中的应用探讨.pdf,e4100039abef7f93a2e5a689a1cd09377005ede0c7c6a95a1d3bd26f5edf7ef2,3,HFM-A000086_raw.txt,2049,TEXT,OK
B02,HFM-A000086,针灸甲乙经/论文/针灸甲乙经/225-三才理论在针灸治疗热病中的应用探讨.pdf,e4100039abef7f93a2e5a689a1cd09377005ede0c7c6a95a1d3bd26f5edf7ef2,4,HFM-A000086_raw.txt,2455,TEXT,OK
B02,HFM-A000111,针灸甲乙经/论文/针灸甲乙经/253-针灸补泻手法初探.pdf,ad8a5c8f15e5575acbc26e12a0856f113f6a96edbae3e17366b526dcaa4c0ee5,1,HFM-A000111_raw.txt,2366,TEXT,OK
B02,HFM-A000111,针灸甲乙经/论文/针灸甲乙经/253-针灸补泻手法初探.pdf,ad8a5c8f15e5575acbc26e12a0856f113f6a96edbae3e17366b526dcaa4c0ee5,2,HFM-A000111_raw.txt,2141,TEXT,OK
B02,HFM-A000111,针灸甲乙经/论文/针灸甲乙经/253-针灸补泻手法初探.pdf,ad8a5c8f15e5575acbc26e12a0856f113f6a96edbae3e17366b526dcaa4c0ee5,3,HFM-A000111_raw.txt,2050,TEXT,OK
