BATCH_ID,ASSET_ID,PAGE,FAILURE_TYPE,FAILURE_DESCRIPTION,PROCESSING_ROUTE,RETRY_STATUS,MANUAL_REVIEW_REQUIRED
B02,HFM-A000627,1,OCR_EMPTY,tesseract raw chars=0,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000671,1,OCR_LOW_OUTPUT,tesseract raw chars=8,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000676,1,OCR_LOW_OUTPUT,tesseract raw chars=56,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000533,1,OCR_LOW_OUTPUT,tesseract raw chars=60,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000533,176,OCR_LOW_OUTPUT,tesseract raw chars=20,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000537,1,OCR_LOW_OUTPUT,tesseract raw chars=4,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000537,132,OCR_LOW_OUTPUT,tesseract raw chars=24,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000542,1,OCR_LOW_OUTPUT,tesseract raw chars=12,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000542,81,OCR_LOW_OUTPUT,tesseract raw chars=70,B_OCR,RETRY_ADVANCED_OCR,YES
B02,HFM-A000542,162,OCR_LOW_OUTPUT,tesseract raw chars=22,B_OCR,RETRY_ADVANCED_OCR,YES
