BATCH_ID,ASSET_ID,CANDIDATE_TITLE_LINE,AUTHOR,ABSTRACT_MARKER,KEYWORD_MARKER,REVIEW_STATUS
B02,HFM-A000013,《针灸甲乙经》的读法,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000037,中医研究,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000050,CULTURE,UNKNOWN,NO,NO,AUTO_EXTRACTED
B02,HFM-A000062,第33卷第2期,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000086,中医研究,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000111,总第20卷220期,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000135,CMYK,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000160,天津中医学院学报：抽帅ａＩ缸Ｔｈｎｊｉｎ,UNKNOWN,NO,YES,AUTO_EXTRACTED
B02,HFM-A000184,2021年7月第27卷第7期,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000209,实用中医药杂志摇圆园员圆年猿月摇第圆愿卷猿期（总第圆猿园期）,UNKNOWN,NO,NO,AUTO_EXTRACTED
B02,HFM-A000233,2０2３年第６期,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000258,／／ｘｕｅｂａｏ．,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000282,2015年5月第22卷第5期,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000307,第３０卷第１期,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000331,！！！塑：』！些：：！婴！：！！！！！！！塑尘,UNKNOWN,NO,YES,AUTO_EXTRACTED
B02,HFM-A000356,蜜蜂杂志,UNKNOWN,NO,NO,AUTO_EXTRACTED
B02,HFM-A000380,·２６·,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000405,中医文献杂志,UNKNOWN,YES,YES,AUTO_EXTRACTED
B02,HFM-A000429,中国中西医结合肾病杂志2015年2月第16卷第2期,UNKNOWN,NO,NO,AUTO_EXTRACTED
B02,HFM-A000454,DOI:10.13703/j.0255-2930.2014.12.015,UNKNOWN,NO,NO,AUTO_EXTRACTED
B02,HFM-A000478,·838·,UNKNOWN,NO,YES,AUTO_EXTRACTED
