ASSET_ID,SOURCE_PATH,REASON
HFM-A000045,针灸甲乙经/论文/针灸甲乙经/167-世界最早的针灸专著《针灸甲乙经》.pdf,B_OCR_no_text
HFM-A000049,针灸甲乙经/论文/针灸甲乙经/178-世界最早的针灸专著《针灸甲乙经》.pdf,B_OCR_no_text
HFM-A000300,针灸甲乙经/论文/针灸甲乙经/523-一针一灸有奇功——贺新编历史剧《皇甫谧》北京展演成功.pdf,B_OCR_no_text
HFM-A000423,针灸甲乙经/论文/针灸甲乙经/646-脐针布针思维浅析与临床应用举隅.pdf,B_OCR_no_text
HFM-A000441,针灸甲乙经/论文/针灸甲乙经/663-小议百会穴取穴法.pdf,B_OCR_no_text
HFM-A000451,针灸甲乙经/论文/针灸甲乙经/673-道法自然_从治水到针刺治病_白兴华.pdf,B_OCR_no_text
HFM-A000464,针灸甲乙经/论文/针灸甲乙经/697-浅议百会穴的主治规律_江澎湃.pdf,B_OCR_no_text
HFM-A000467,针灸甲乙经/论文/针灸甲乙经/700-大椎穴的临床应用_曹文忠.pdf,B_OCR_no_text
HFM-A000468,针灸甲乙经/论文/针灸甲乙经/701-刺激合谷穴在临床上注意事项探析_尹利华.pdf,B_OCR_no_text
HFM-A000480,针灸甲乙经/论文/针灸甲乙经/763-《帛书·经脉》在经络腧穴发展史中的意义.pdf,B_OCR_no_text
HFM-A000494,针灸甲乙经/论文/针灸甲乙经/810-针刺在围术期应用及相关机制研究进展_王颖.pdf,B_OCR_no_text
HFM-A000496,针灸甲乙经/论文/针灸甲乙经/815-人迎穴临床应用研究进展_谷文龙.pdf,B_OCR_no_text
HFM-A000498,针灸甲乙经/论文/针灸甲乙经/819-肛裂的中西医治疗研究进展_何孝康.pdf,B_OCR_no_text
HFM-A000500,针灸甲乙经/论文/针灸甲乙经/821-《灵枢》“心胀”探析_陆曙.pdf,B_OCR_no_text
HFM-A000503,针灸甲乙经/论文/针灸甲乙经/827-中医理论和气功理论中任督二脉的差别_葛鹏.pdf,B_OCR_no_text
HFM-A000514,针灸甲乙经/论文/针灸甲乙经/847-我对大椎穴临床应用的一些见解_孙六合.pdf,B_OCR_no_text
HFM-A000515,针灸甲乙经/论文/针灸甲乙经/848-风池穴的临床及机理研究进展_仲远明.pdf,B_OCR_no_text
HFM-A000517,针灸甲乙经/论文/针灸甲乙经/854-浅谈对“血出而射者”的理解及应用_李岩.pdf,B_OCR_no_text
HFM-A000518,针灸甲乙经/论文/针灸甲乙经/857-神经细胞“撞激”学与针刺_张卫平.pdf,B_OCR_no_text
HFM-A000622,非遗佐证/02 领办人荣誉及获奖/1、平凉市名中医.pdf,B_OCR_no_text
HFM-A000623,非遗佐证/02 领办人荣誉及获奖/2、甘肃省先进工作者.pdf,B_OCR_no_text
HFM-A000624,非遗佐证/02 领办人荣誉及获奖/3、甘肃省名中医.pdf,B_OCR_no_text
HFM-A000625,非遗佐证/02 领办人荣誉及获奖/4、首届平凉名医.pdf,B_OCR_no_text
HFM-A000626,非遗佐证/02 领办人荣誉及获奖/5、崆峒工匠.pdf,B_OCR_no_text
HFM-A000627,非遗佐证/02 领办人荣誉及获奖/6、甘肃高层次专业技术人才津贴人员.pdf,B_OCR_no_text
HFM-A000628,非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2016年优秀院长.pdf,B_OCR_no_text
HFM-A000629,非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2017优秀院长.pdf,B_OCR_no_text
HFM-A000630,非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2018优秀院长.pdf,B_OCR_no_text
HFM-A000632,非遗佐证/02 领办人荣誉及获奖/7、“全区优秀院长” 荣誉证书复印件/2019优秀院长.pdf,B_OCR_no_text
HFM-A000633,非遗佐证/03 非遗传承人资质/皇甫谧针灸市级非物质文化遗产代表性传承人认定文件.pdf,B_OCR_no_text
HFM-A000634,非遗佐证/04 学术兼职/1、甘肃省高等学校医学类专业教学指导、认证与教材建设委员会委员聘书.pdf,B_OCR_no_text
HFM-A000635,非遗佐证/04 学术兼职/2、省针灸学会副会长.pdf,B_OCR_no_text
HFM-A000636,非遗佐证/04 学术兼职/3、市针灸学会会长.pdf,B_OCR_no_text
HFM-A000637,非遗佐证/04 学术兼职/4、2023中国针灸学会非物质文化遗产工作委员会委员.pdf,B_OCR_no_text
HFM-A000638,非遗佐证/04 学术兼职/5、2025全国综合及医科大学针灸推拿学联盟副理事长.pdf,B_OCR_no_text
