BATCH_ID,ASSET_ID,SOURCE_PDF,SHA256,PAGE_NUMBER,OUTPUT_FILE,PAGE_TEXT_CHARS,LAYER,STATUS
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,1,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,1228,TEXT,OK
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,2,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,1578,TEXT,OK
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,3,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,1533,TEXT,OK
B02,HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,4,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,1309,TEXT,OK
B03,HFM-A000014,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,1,content-production/corpus/extracted-text/HFM-A000014_raw.txt,2221,TEXT,OK
B03,HFM-A000014,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,2,content-production/corpus/extracted-text/HFM-A000014_raw.txt,2016,TEXT,OK
B03,HFM-A000014,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,3,content-production/corpus/extracted-text/HFM-A000014_raw.txt,2009,TEXT,OK
B03,HFM-A000014,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,4,content-production/corpus/extracted-text/HFM-A000014_raw.txt,2065,TEXT,OK
B03,HFM-A000015,针灸甲乙经/论文/针灸甲乙经/100-《针灸甲乙经》中胸胁满痛的治疗特色探赜.pdf,9563090f7004949467514da066771af951a80890edfd1fd0b10984e5d83070c3,1,content-production/corpus/extracted-text/HFM-A000015_raw.txt,1854,TEXT,OK
B03,HFM-A000015,针灸甲乙经/论文/针灸甲乙经/100-《针灸甲乙经》中胸胁满痛的治疗特色探赜.pdf,9563090f7004949467514da066771af951a80890edfd1fd0b10984e5d83070c3,2,content-production/corpus/extracted-text/HFM-A000015_raw.txt,1944,TEXT,OK
