ROUTE,ASSET_ID,PAGES_CHECKED,EMPTY_OR_LOW,VERDICT
A_TEXT,HFM-A000061,2,3814,QC_PASS
A_TEXT,HFM-A000047,3,5944,QC_PASS
A_TEXT,HFM-A000097,4,7816,QC_PASS
A_TEXT,HFM-A000412,2,3800,QC_PASS
A_TEXT,HFM-A000293,2,5659,QC_PASS
A_TEXT,HFM-A000078,1,1858,QC_PASS
A_TEXT,HFM-A000257,4,7340,QC_PASS
A_TEXT,HFM-A000019,3,5103,QC_PASS
A_TEXT,HFM-A000163,2,3652,QC_PASS
A_TEXT,HFM-A000363,4,6486,QC_PASS
A_TEXT,HFM-A000377,1,1920,QC_PASS
A_TEXT,HFM-A000014,4,8311,QC_PASS
A_TEXT,HFM-A000136,2,5233,QC_PASS
A_TEXT,HFM-A000458,1,256,QC_PASS
A_TEXT,HFM-A000400,3,6425,QC_PASS
A_TEXT,HFM-A000319,2,4244,QC_PASS
A_TEXT,HFM-A000411,2,2996,QC_PASS
A_TEXT,HFM-A000211,2,3837,QC_PASS
A_TEXT,HFM-A000246,2,4897,QC_PASS
A_TEXT,HFM-A000484,3,3696,QC_PASS
A_TEXT,HFM-A000115,1,2108,QC_PASS
A_TEXT,HFM-A000096,2,3158,QC_PASS
A_TEXT,HFM-A000161,2,2943,QC_PASS
A_TEXT,HFM-A000200,4,9756,QC_PASS
A_TEXT,HFM-A000392,4,6102,QC_PASS
A_TEXT,HFM-A000413,1,1788,QC_PASS
A_TEXT,HFM-A000237,6,12620,QC_PASS
A_TEXT,HFM-A000020,2,4121,QC_PASS
A_TEXT,HFM-A000271,3,3520,QC_PASS
A_TEXT,HFM-A000485,5,7224,QC_PASS
B_OCR,HFM-A000619,3,1,QC_PARTIAL
B_OCR,HFM-A000656,1,0,QC_PASS
B_OCR,HFM-A000554,3,1,QC_PARTIAL
B_OCR,HFM-A000595,3,2,QC_PARTIAL
B_OCR,HFM-A000636,1,0,QC_PASS
B_OCR,HFM-A000556,3,1,QC_PARTIAL
B_OCR,HFM-A000626,1,1,QC_PARTIAL
B_OCR,HFM-A000645,1,0,QC_PASS
B_OCR,HFM-A000632,1,0,QC_PASS
B_OCR,HFM-A000540,3,1,QC_PARTIAL
B_OCR,HFM-A000555,3,3,QC_PARTIAL
B_OCR,HFM-A000480,3,0,QC_PASS
B_OCR,HFM-A000534,3,0,QC_PASS
B_OCR,HFM-A000672,1,1,QC_PARTIAL
B_OCR,HFM-A000622,1,0,QC_PASS
B_OCR,HFM-A000579,3,1,QC_PARTIAL
B_OCR,HFM-A000663,1,0,QC_PASS
B_OCR,HFM-A000650,1,0,QC_PASS
B_OCR,HFM-A000629,1,0,QC_PASS
B_OCR,HFM-A000255,4,0,QC_PASS
B_OCR,HFM-A000441,1,0,QC_PASS
B_OCR,HFM-A000514,4,0,QC_PASS
B_OCR,HFM-A000500,1,0,QC_PASS
B_OCR,HFM-A000428,2,0,QC_PASS
B_OCR,HFM-A000535,3,1,QC_PARTIAL
B_OCR,HFM-A000512,3,0,QC_PASS
B_OCR,HFM-A000635,1,1,QC_PARTIAL
B_OCR,HFM-A000628,1,1,QC_PARTIAL
B_OCR,HFM-A000508,2,0,QC_PASS
B_OCR,HFM-A000617,3,0,QC_PASS
