ASSET_ID,SOURCE_PATH,SHA256,PAGE_COUNT_IF_AVAILABLE,ENCRYPTION_TYPE_IF_DETECTABLE,TEXT_EXTRACTION_AVAILABLE,OCR_RENDER_AVAILABLE,MANUAL_ACTION_REQUIRED
HFM-A000013,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000014,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000015,针灸甲乙经/论文/针灸甲乙经/100-《针灸甲乙经》中胸胁满痛的治疗特色探赜.pdf,9563090f7004949467514da066771af951a80890edfd1fd0b10984e5d83070c3,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000017,针灸甲乙经/论文/针灸甲乙经/102-《针灸甲乙经》治疗耳鸣耳聋的特点分析.pdf,6a14baab961a030f2c2d5cacde2843273dbde5de105c2bcc411281516dd59409,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000018,针灸甲乙经/论文/针灸甲乙经/104-《针灸甲乙经》学术思想及针灸治疗癫痫的探究.pdf,48e4ea03afb9a1d3ed9365c07237fadca5b3274850031fbb1d724e638b2eba99,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000019,针灸甲乙经/论文/针灸甲乙经/106-浅析《针灸甲乙经》对背俞穴的认识与应用.pdf,fa5ab1fcd0b10d018bd190349c33b2130adf822af747dcde7468c72e89940334,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000021,针灸甲乙经/论文/针灸甲乙经/108-探索《针灸甲乙经》中针灸治疗狂证的经络运用规律.pdf,00654581ca3e8522a2068d40458c875d63a5844e33a76629f4669e4ba779e533,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000023,针灸甲乙经/论文/针灸甲乙经/11-《针灸甲乙经》处方配穴特点分析.pdf,57d96afe4e407f2c67a50c1d236db122b4fb58225c97438b86f827a1329db58c,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000024,针灸甲乙经/论文/针灸甲乙经/111-探讨《针灸甲乙经》对针刺治疗精神疾病的认识及论治.pdf,984bc71a6bbb8a865b394636284f608130462f66fff2b67e46b4be8d496b1496,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000025,针灸甲乙经/论文/针灸甲乙经/113-浅述《针灸甲乙经》腧穴刺灸学成就.pdf,740e3e3876ab2625c7c2e50072b24bbbec419cbd1a37680c80c7106a7a4fb2ec,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
