REVIEW_TYPE,ASSET_ID,REASON,OUTPUT,STATUS_NOTE
OCR_REVIEW,HFM-A000416,page 68 low OCR chars=0,corpus/raw-ocr/HFM-A000416_p068_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000418,page 236 low OCR chars=0,corpus/raw-ocr/HFM-A000418_p236_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000491,page 170 low OCR chars=0,corpus/raw-ocr/HFM-A000491_p170_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000492,page 72 low OCR chars=0,corpus/raw-ocr/HFM-A000492_p072_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000530,page 159 low OCR chars=42,corpus/raw-ocr/HFM-A000530_p159_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000531,page 156 low OCR chars=42,corpus/raw-ocr/HFM-A000531_p156_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000535,page 67 low OCR chars=51,corpus/raw-ocr/HFM-A000535_p067_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000536,page 1 low OCR chars=2,corpus/raw-ocr/HFM-A000536_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000538,page 1 low OCR chars=0,corpus/raw-ocr/HFM-A000538_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000538,page 129 low OCR chars=24,corpus/raw-ocr/HFM-A000538_p129_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000539,page 1 low OCR chars=1,corpus/raw-ocr/HFM-A000539_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000539,page 156 low OCR chars=25,corpus/raw-ocr/HFM-A000539_p156_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000540,page 1 low OCR chars=3,corpus/raw-ocr/HFM-A000540_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000548,page 1 low OCR chars=9,corpus/raw-ocr/HFM-A000548_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000548,page 38 low OCR chars=2,corpus/raw-ocr/HFM-A000548_p038_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000550,page 1 low OCR chars=4,corpus/raw-ocr/HFM-A000550_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000550,page 82 low OCR chars=23,corpus/raw-ocr/HFM-A000550_p082_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000552,page 1 low OCR chars=0,corpus/raw-ocr/HFM-A000552_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000553,page 1 low OCR chars=16,corpus/raw-ocr/HFM-A000553_p001_raw.txt,LOW_OCR_OUTPUT
OCR_REVIEW,HFM-A000554,page 1 low OCR chars=16,corpus/raw-ocr/HFM-A000554_p001_raw.txt,LOW_OCR_OUTPUT
