source_type,source_stable_id,entity_stable_id,entity_type,canonical_name,source_file,source_row,identity_basis,review_status
PERSON,PERSON-HFM-HUANGFUMI,ENT-PERSON-HFM-HUANGFUMI,person,皇甫谧,content-production/normalized/persons.csv,2,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-LEFT-SI,ENT-PERSON-LEFT-SI,person,左思,content-production/normalized/persons.csv,3,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-SIMA-YAN,ENT-PERSON-SIMA-YAN,person,司马炎(晋武帝),content-production/normalized/persons.csv,4,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-LIANG-LIU,ENT-PERSON-LIANG-LIU,person,梁柳,content-production/normalized/persons.csv,5,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-LI-JULAI,ENT-PERSON-LI-JULAI,person,李巨来(清),content-production/normalized/persons.csv,6,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-QIAN-XIZUO,ENT-PERSON-QIAN-XIZUO,person,钱熙祚(清),content-production/normalized/persons.csv,7,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-QIAN-CHAOCHEN,ENT-PERSON-QIAN-CHAOCHEN,person,钱超尘,content-production/normalized/persons.csv,8,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-WEN-CHANGLU,ENT-PERSON-WEN-CHANGLU,person,温长路,content-production/normalized/persons.csv,9,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-SHI-XINGHAI,ENT-PERSON-SHI-XINGHAI,person,史星海,content-production/normalized/persons.csv,10,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-LI-ZHIFENG,ENT-PERSON-LI-ZHIFENG,person,李志锋,content-production/normalized/persons.csv,11,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-LIU-JUNQI,ENT-PERSON-LIU-JUNQI,person,刘君奇,content-production/normalized/persons.csv,12,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-ZHANG-FARONG,ENT-PERSON-ZHANG-FARONG,person,张发荣,content-production/normalized/persons.csv,13,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-HUANGLONGXIANG,ENT-PERSON-HUANGLONGXIANG,person,黄龙祥,content-production/normalized/persons.csv,14,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-LI-DING,ENT-PERSON-LI-DING,person,李鼎,content-production/normalized/persons.csv,15,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-GAO-SHUZHONG,ENT-PERSON-GAO-SHUZHONG,person,高树中,content-production/normalized/persons.csv,16,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-WANG-JUN,ENT-PERSON-WANG-JUN,person,王军,content-production/normalized/persons.csv,17,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
PERSON,PERSON-WU-MIANXUE,ENT-PERSON-WU-MIANXUE,person,吴勉学(明),content-production/normalized/persons.csv,18,PROD_CANONICAL_PERSON_17,REVIEW_REQUIRED
WORK,WORK-JIAYI,ENT-WORK-JIAYI,work,针灸甲乙经,content-production/normalized/works.csv,2,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-DIWANG-SHIJI,ENT-WORK-DIWANG-SHIJI,work,帝王世纪,content-production/normalized/works.csv,3,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-GAOSHIZHUAN,ENT-WORK-GAOSHIZHUAN,work,高士传,content-production/normalized/works.csv,4,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-LIENVZHUAN,ENT-WORK-LIENVZHUAN,work,列女传,content-production/normalized/works.csv,5,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-YISHIZHUAN,ENT-WORK-YISHIZHUAN,work,逸士传,content-production/normalized/works.csv,6,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-XUANSHOULUN,ENT-WORK-XUANSHOULUN,work,玄守论,content-production/normalized/works.csv,7,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-SHIQUANLUN,ENT-WORK-SHIQUANLUN,work,释劝论,content-production/normalized/works.csv,8,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-DUZHONGLUN,ENT-WORK-DUZHONGLUN,work,笃终论,content-production/normalized/works.csv,9,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-SANDUFUXU,ENT-WORK-SANDUFUXU,work,三都赋序,content-production/normalized/works.csv,10,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-XUANYANCHUNQIU,ENT-WORK-XUANYANCHUNQIU,work,玄晏春秋,content-production/normalized/works.csv,11,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-YITONG-ZHENGMAI,ENT-WORK-YITONG-ZHENGMAI,work,医统正脉全书(丛书),content-production/normalized/works.csv,12,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-HUANGFUMI-YANJIU-JICHENG,ENT-WORK-HUANGFUMI-YANJIU-JICHENG,work,皇甫谧研究集成(现代),content-production/normalized/works.csv,13,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-HUANGFUMI-YIZHU-JI,ENT-WORK-HUANGFUMI-YIZHU-JI,work,皇甫谧遗著集(现代),content-production/normalized/works.csv,14,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
WORK,WORK-HUANGFUMI-ZHENJIU,ENT-WORK-HUANGFUMI-ZHENJIU,work,"皇甫谧针灸(现代,李志锋2025)",content-production/normalized/works.csv,15,PROD_CANONICAL_WORK_14,REVIEW_REQUIRED
