work_stable_id,canonical_title,work_type,source_identity,aliases,identity_basis,work_type_review,review_status
WORK-JIAYI,针灸甲乙经,ancient-work,WORK-JIAYI,甲乙经,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-DIWANG-SHIJI,帝王世纪,ancient-work,WORK-DIWANG-SHIJI,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-GAOSHIZHUAN,高士传,ancient-work,WORK-GAOSHIZHUAN,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-LIENVZHUAN,列女传,ancient-work,WORK-LIENVZHUAN,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-YISHIZHUAN,逸士传,ancient-work,WORK-YISHIZHUAN,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-XUANSHOULUN,玄守论,treatise,WORK-XUANSHOULUN,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-SHIQUANLUN,释劝论,treatise,WORK-SHIQUANLUN,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-DUZHONGLUN,笃终论,treatise,WORK-DUZHONGLUN,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-SANDUFUXU,三都赋序,preface,WORK-SANDUFUXU,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-XUANYANCHUNQIU,玄晏春秋,UNKNOWN,WORK-XUANYANCHUNQIU,,PROD_CANONICAL_WORK,UNKNOWN,REVIEW_REQUIRED
WORK-YITONG-ZHENGMAI,医统正脉全书(丛书),series,WORK-YITONG-ZHENGMAI,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-HUANGFUMI-YANJIU-JICHENG,皇甫谧研究集成(现代),modern-compilation,WORK-HUANGFUMI-YANJIU-JICHENG,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-HUANGFUMI-YIZHU-JI,皇甫谧遗著集(现代),modern-compilation,WORK-HUANGFUMI-YIZHU-JI,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
WORK-HUANGFUMI-ZHENJIU,"皇甫谧针灸(现代,李志锋2025)",modern-book,WORK-HUANGFUMI-ZHENJIU,,PROD_CANONICAL_WORK,NEEDS_REVIEW,REVIEW_REQUIRED
