edition_stable_id,edition_title,source_file,candidate_work_stable_id,candidate_work_title,mapping_basis,mapping_confidence,human_review_required,human_decision,review_status,evidence
EDITION-HFM-A000529,10023266.pdf,content-production/normalized/jiayi-editions.csv,UNRESOLVED,UNRESOLVED,NUMERIC_FILENAME_NO_TEXTUAL_WORK_EVIDENCE,UNRESOLVED,YES,RECOMMEND_DEFER,DEFERRED,数字文件名 10023266.pdf，无任何著作文本线索，建议延后
EDITION-HFM-A000530,10023267.pdf,content-production/normalized/jiayi-editions.csv,UNRESOLVED,UNRESOLVED,NUMERIC_FILENAME_NO_TEXTUAL_WORK_EVIDENCE,UNRESOLVED,YES,RECOMMEND_DEFER,DEFERRED,数字文件名 10023267.pdf，无任何著作文本线索，建议延后
EDITION-HFM-A000531,10023268.pdf,content-production/normalized/jiayi-editions.csv,UNRESOLVED,UNRESOLVED,NUMERIC_FILENAME_NO_TEXTUAL_WORK_EVIDENCE,UNRESOLVED,YES,RECOMMEND_DEFER,DEFERRED,数字文件名 10023268.pdf，无任何著作文本线索，建议延后
EDITION-HFM-A000532,10023609.pdf,content-production/normalized/jiayi-editions.csv,UNRESOLVED,UNRESOLVED,NUMERIC_FILENAME_NO_TEXTUAL_WORK_EVIDENCE,UNRESOLVED,YES,RECOMMEND_DEFER,DEFERRED,数字文件名 10023609.pdf，无任何著作文本线索，建议延后
EDITION-HFM-A000533,《甲乙经》五车楼藏板 2.pdf,content-production/normalized/jiayi-editions.csv,WORK-JIAYI,针灸甲乙经,TITLE_CONTAINS_JIAYI,HIGH,YES,PENDING_CONFIRMATION,REVIEW_REQUIRED,文件名/标题明确指向针灸甲乙经: 《甲乙经》五车楼藏板 2.pdf
EDITION-HFM-A000534,《甲乙经》五车楼藏板 3.pdf,content-production/normalized/jiayi-editions.csv,WORK-JIAYI,针灸甲乙经,TITLE_CONTAINS_JIAYI,HIGH,YES,PENDING_CONFIRMATION,REVIEW_REQUIRED,文件名/标题明确指向针灸甲乙经: 《甲乙经》五车楼藏板 3.pdf
EDITION-HFM-A000535,《甲乙经》五车楼藏板 4.pdf,content-production/normalized/jiayi-editions.csv,WORK-JIAYI,针灸甲乙经,TITLE_CONTAINS_JIAYI,HIGH,YES,PENDING_CONFIRMATION,REVIEW_REQUIRED,文件名/标题明确指向针灸甲乙经: 《甲乙经》五车楼藏板 4.pdf
EDITION-HFM-A000536,《甲乙经》五车楼藏板1.pdf,content-production/normalized/jiayi-editions.csv,WORK-JIAYI,针灸甲乙经,TITLE_CONTAINS_JIAYI,HIGH,YES,PENDING_CONFIRMATION,REVIEW_REQUIRED,文件名/标题明确指向针灸甲乙经: 《甲乙经》五车楼藏板1.pdf
EDITION-HFM-A000537,《甲乙经》行素草堂藏板清光绪卷一二.pdf,content-production/normalized/jiayi-editions.csv,WORK-JIAYI,针灸甲乙经,TITLE_CONTAINS_JIAYI,HIGH,YES,PENDING_CONFIRMATION,REVIEW_REQUIRED,文件名/标题明确指向针灸甲乙经: 《甲乙经》行素草堂藏板清光绪卷一二.pdf
EDITION-HFM-A000538,《甲乙经》行素草堂藏板清光绪卷三四.pdf,content-production/normalized/jiayi-editions.csv,WORK-JIAYI,针灸甲乙经,TITLE_CONTAINS_JIAYI,HIGH,YES,PENDING_CONFIRMATION,REVIEW_REQUIRED,文件名/标题明确指向针灸甲乙经: 《甲乙经》行素草堂藏板清光绪卷三四.pdf
