person_stable_id,canonical_name,aliases,birth_death,person_type,surface_role,identity_basis,identity_confidence,review_status
PERSON-HFM-HUANGFUMI,皇甫谧,"士安(据后世引文,待核)",,name:PERSON,MAIN,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-LEFT-SI,左思,,,name:PERSON,RELATED,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-SIMA-YAN,司马炎(晋武帝),,,name:PERSON,RELATED,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-LIANG-LIU,梁柳,,,name:PERSON,RELATED,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-LI-JULAI,李巨来(清),,,name:PERSON,RELATED,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-QIAN-XIZUO,钱熙祚(清),,,name:PERSON,RELATED,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-QIAN-CHAOCHEN,钱超尘,,,name:PERSON,SCHOLAR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-WEN-CHANGLU,温长路,,,name:PERSON,SCHOLAR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-SHI-XINGHAI,史星海,,,name:PERSON,SCHOLAR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-LI-ZHIFENG,李志锋,,,name:PERSON,INHERITOR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-LIU-JUNQI,刘君奇,,,name:PERSON,INHERITOR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-ZHANG-FARONG,张发荣,,,name:PERSON,RELATED,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-HUANGLONGXIANG,黄龙祥,,,name:PERSON,SCHOLAR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-LI-DING,李鼎,,,name:PERSON,SCHOLAR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-GAO-SHUZHONG,高树中,,,name:PERSON,SCHOLAR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-WANG-JUN,王军,,,name:PERSON,SCHOLAR,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
PERSON-WU-MIANXUE,吴勉学(明),,,name:PERSON,PRINTER,PROD_CANONICAL_PERSON,CONFIRMED,REVIEW_REQUIRED
