stable_id,edition_title,candidate_work_stable_id,candidate_work_title,mapping_confidence,current_status,recommendation,evidence,evidence_source,ambiguity,blocking_issue,reviewer,review_timestamp
EDITION-HFM-A000529,10023266.pdf,WORK-JIAYI,针灸甲乙经,HIGH,CONFIRMED,CONFIRM_RECOMMENDED,OCR 卷端题名「鐵灸甲乙經卷之一」「精帅五藏第一」（PaddleOCR，见 P6 证据卷）,content-production/import/pwe-mapping/review/P6-DEFERRED-EDITION-EVIDENCE.md,NONE,NONE,HUMAN-P6-SIGN-OFF,2026-09-13T23:00:00+08:00
EDITION-HFM-A000530,10023267.pdf,WORK-JIAYI,针灸甲乙经,HIGH,CONFIRMED,CONFIRM_RECOMMENDED,OCR 序页「新校正黄帝鐵灸甲乙經序」+ 宋臣高保衡/孙奇署名 +「皇甫士」（见 P6 证据卷）,content-production/import/pwe-mapping/review/P6-DEFERRED-EDITION-EVIDENCE.md,NONE,NONE,HUMAN-P6-SIGN-OFF,2026-09-13T23:00:00+08:00
EDITION-HFM-A000531,10023268.pdf,WORK-JIAYI,针灸甲乙经,HIGH,CONFIRMED,CONFIRM_RECOMMENDED,OCR 序页「新校正黄帝鐵灸甲乙經序」+「鐵灸甲乙經目錄卷之一」（见 P6 证据卷）,content-production/import/pwe-mapping/review/P6-DEFERRED-EDITION-EVIDENCE.md,NONE,NONE,HUMAN-P6-SIGN-OFF,2026-09-13T23:00:00+08:00
EDITION-HFM-A000532,10023609.pdf,WORK-JIAYI,针灸甲乙经,HIGH,CONFIRMED,CONFIRM_RECOMMENDED,OCR 正文「经穴总述」「【原文】…（卷二，第一上）（出《灵枢》第十）」（见 P6 证据卷）,content-production/import/pwe-mapping/review/P6-DEFERRED-EDITION-EVIDENCE.md,NONE,NONE,HUMAN-P6-SIGN-OFF,2026-09-13T23:00:00+08:00
EDITION-HFM-A000533,《甲乙经》五车楼藏板 2.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》五车楼藏板 2.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000534,《甲乙经》五车楼藏板 3.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》五车楼藏板 3.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000535,《甲乙经》五车楼藏板 4.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》五车楼藏板 4.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000536,《甲乙经》五车楼藏板1.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》五车楼藏板1.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000537,《甲乙经》行素草堂藏板清光绪卷一二.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》行素草堂藏板清光绪卷一二.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000538,《甲乙经》行素草堂藏板清光绪卷三四.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》行素草堂藏板清光绪卷三四.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
