DOCUMENT_ID,TITLE_ORIGINAL,TITLE_NORMALIZED,AUTHOR_ORIGINAL,AUTHOR_NORMALIZED,PUBLICATION,YEAR,DOCUMENT_TYPE,LANGUAGE,EDITION,SOURCE_ASSET_ID,SOURCE_PAGES,SHA256,PROCESSING_STATUS,REVIEW_STATUS
DOC-HFM-A000003,其传,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PLANNING_DOC,ZH,UNKNOWN,HFM-A000003,,8d9062878e9663411f7aad078d84cdafc6cf71d7c4cb7dd9a6ebb3759459bf51,PARTIAL,NEEDS_REVIEW
DOC-HFM-A000004,其言,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PLANNING_DOC,ZH,UNKNOWN,HFM-A000004,,6d5cf0613101ab3546813fed4acb7e816a15af9b1cc74e0b5446b02891f2d8ee,PARTIAL,NEEDS_REVIEW
DOC-HFM-A000005,后论,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PLANNING_DOC,ZH,UNKNOWN,HFM-A000005,,6b8dad0e27bf4e762d7d4df120f4c0e3fea28d40d9712fa67618d869e6da90a5,PARTIAL,NEEDS_REVIEW
DOC-HFM-A000013,1-《针灸甲乙经》的读法,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000013,4,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000014,10-《针灸甲乙经》论治不孕症探析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000014,4,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000015,100-《针灸甲乙经》中胸胁满痛的治疗特色探赜,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000015,3,9563090f7004949467514da066771af951a80890edfd1fd0b10984e5d83070c3,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000016,101-《针灸甲乙经》诊治目病的学术特色探析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000016,2,439e4aa52cd03ebfe31ca09267a70a3a0d1912bce68ad3be7e3cdeb7b8354da4,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000017,102-《针灸甲乙经》治疗耳鸣耳聋的特点分析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000017,2,6a14baab961a030f2c2d5cacde2843273dbde5de105c2bcc411281516dd59409,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000018,104-《针灸甲乙经》学术思想及针灸治疗癫痫的探究,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000018,3,48e4ea03afb9a1d3ed9365c07237fadca5b3274850031fbb1d724e638b2eba99,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000019,106-浅析《针灸甲乙经》对背俞穴的认识与应用,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000019,3,fa5ab1fcd0b10d018bd190349c33b2130adf822af747dcde7468c72e89940334,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000020,107-《针灸甲乙经》刺络疗法操作方法特点初探,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000020,2,f82546aaad7c1f9b4acb285baf8a58575a5db7618703023757c58fd3fb8eb765,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000021,108-探索《针灸甲乙经》中针灸治疗狂证的经络运用规律,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000021,1,00654581ca3e8522a2068d40458c875d63a5844e33a76629f4669e4ba779e533,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000022,109-《针灸大成》对《针灸甲乙经》针刺理论的继承与发展,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000022,3,cd8cb10c520c4dc4c9291a06fb97ac7538a3157a5c57b2fbe8816ded61f425fa,SUCCESS,NEEDS_REVIEW
DOC-HFM-A000023,11-《针灸甲乙经》处方配穴特点分析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,ZH,UNKNOWN,HFM-A000023,3,57d96afe4e407f2c67a50c1d236db122b4fb58225c97438b86f827a1329db58c,SUCCESS,NEEDS_REVIEW
