EVENT_ID,DATE,EVENT,PLACE,PEOPLE,SOURCE_ASSET_ID,REVIEW_STATUS
HEVENT-HFM-A000628,2016,2016年优秀院长,,,HFM-A000628,AUTO_EXTRACTED
HEVENT-HFM-A000629,2017,2017优秀院长,,,HFM-A000629,AUTO_EXTRACTED
HEVENT-HFM-A000630,2018,2018优秀院长,,,HFM-A000630,AUTO_EXTRACTED
HEVENT-HFM-A000631,2019,2019优秀院长,,,HFM-A000631,AUTO_EXTRACTED
HEVENT-HFM-A000632,2019,2019优秀院长,,,HFM-A000632,AUTO_EXTRACTED
HEVENT-HFM-A000637,2023,4、2023中国针灸学会非物质文化遗产工作委员会委员,,,HFM-A000637,AUTO_EXTRACTED
HEVENT-HFM-A000638,2025,5、2025全国综合及医科大学针灸推拿学联盟副理事长,,,HFM-A000638,AUTO_EXTRACTED
HEVENT-HFM-A000667,2023,2023结项证书 甘肃特色地域文化传承创新研究一一以皇甫谧文化传承创新路径研究为例,,,HFM-A000667,AUTO_EXTRACTED
HEVENT-HFM-A000675,2025,中央电视台拍摄函,,,HFM-A000675,AUTO_EXTRACTED
HEVENT-HFM-A000676,2025,央视图片证明材料,,,HFM-A000676,AUTO_EXTRACTED
