HERITAGE_ID,NAME,CATEGORY,SOURCE_ASSET_ID,REVIEW_STATUS
HERITAGE-HFM-A000622,1、平凉市名中医,02 领办人荣誉及获奖,HFM-A000622,AUTO_EXTRACTED
HERITAGE-HFM-A000623,2、甘肃省先进工作者,02 领办人荣誉及获奖,HFM-A000623,AUTO_EXTRACTED
HERITAGE-HFM-A000624,3、甘肃省名中医,02 领办人荣誉及获奖,HFM-A000624,AUTO_EXTRACTED
HERITAGE-HFM-A000625,4、首届平凉名医,02 领办人荣誉及获奖,HFM-A000625,AUTO_EXTRACTED
HERITAGE-HFM-A000626,5、崆峒工匠,02 领办人荣誉及获奖,HFM-A000626,AUTO_EXTRACTED
HERITAGE-HFM-A000627,6、甘肃高层次专业技术人才津贴人员,02 领办人荣誉及获奖,HFM-A000627,AUTO_EXTRACTED
HERITAGE-HFM-A000628,2016年优秀院长,02 领办人荣誉及获奖,HFM-A000628,AUTO_EXTRACTED
HERITAGE-HFM-A000629,2017优秀院长,02 领办人荣誉及获奖,HFM-A000629,AUTO_EXTRACTED
HERITAGE-HFM-A000630,2018优秀院长,02 领办人荣誉及获奖,HFM-A000630,AUTO_EXTRACTED
HERITAGE-HFM-A000631,2019优秀院长,02 领办人荣誉及获奖,HFM-A000631,AUTO_EXTRACTED
HERITAGE-HFM-A000632,2019优秀院长,02 领办人荣誉及获奖,HFM-A000632,AUTO_EXTRACTED
HERITAGE-HFM-A000633,皇甫谧针灸市级非物质文化遗产代表性传承人认定文件,03 非遗传承人资质,HFM-A000633,AUTO_EXTRACTED
HERITAGE-HFM-A000634,1、甘肃省高等学校医学类专业教学指导、认证与教材建设委员会委员聘书,04 学术兼职,HFM-A000634,AUTO_EXTRACTED
HERITAGE-HFM-A000635,2、省针灸学会副会长,04 学术兼职,HFM-A000635,AUTO_EXTRACTED
HERITAGE-HFM-A000636,3、市针灸学会会长,04 学术兼职,HFM-A000636,AUTO_EXTRACTED
HERITAGE-HFM-A000637,4、2023中国针灸学会非物质文化遗产工作委员会委员,04 学术兼职,HFM-A000637,AUTO_EXTRACTED
HERITAGE-HFM-A000638,5、2025全国综合及医科大学针灸推拿学联盟副理事长,04 学术兼职,HFM-A000638,AUTO_EXTRACTED
HERITAGE-HFM-A000639,6、全国针灸推拿学行业产教融合共同体副理事长聘书或证明文件,04 学术兼职,HFM-A000639,AUTO_EXTRACTED
HERITAGE-HFM-A000640,刘君奇 科研列表,05 技术成果,HFM-A000640,AUTO_EXTRACTED
HERITAGE-HFM-A000641,市科技进步三等奖,05 技术成果,HFM-A000641,AUTO_EXTRACTED
HERITAGE-HFM-A000642,市科技进步二等奖,05 技术成果,HFM-A000642,AUTO_EXTRACTED
HERITAGE-HFM-A000643,市科技进步二等奖2,05 技术成果,HFM-A000643,AUTO_EXTRACTED
HERITAGE-HFM-A000644,市科技进步二等奖3,05 技术成果,HFM-A000644,AUTO_EXTRACTED
HERITAGE-HFM-A000645,市科技进步二等奖4,05 技术成果,HFM-A000645,AUTO_EXTRACTED
HERITAGE-HFM-A000646,市科技进步二等奖5,05 技术成果,HFM-A000646,AUTO_EXTRACTED
HERITAGE-HFM-A000647,市科技进步二等奖6,05 技术成果,HFM-A000647,AUTO_EXTRACTED
HERITAGE-HFM-A000648,市科技进步二等奖7,05 技术成果,HFM-A000648,AUTO_EXTRACTED
HERITAGE-HFM-A000649,市科技进步二等奖8,05 技术成果,HFM-A000649,AUTO_EXTRACTED
HERITAGE-HFM-A000650,市科技进步二等奖9,05 技术成果,HFM-A000650,AUTO_EXTRACTED
HERITAGE-HFM-A000651,（封面）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响,05 技术成果,HFM-A000651,AUTO_EXTRACTED
HERITAGE-HFM-A000652,（正文）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响,05 技术成果,HFM-A000652,AUTO_EXTRACTED
HERITAGE-HFM-A000653,（目录）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响,05 技术成果,HFM-A000653,AUTO_EXTRACTED
HERITAGE-HFM-A000654,（首页）中药外敷联合针刺治疗膝关节骨性关节炎的临床疗效及对关节疼痛的影响,05 技术成果,HFM-A000654,AUTO_EXTRACTED
HERITAGE-HFM-A000655,刘君奇发表论文清单,05 技术成果,HFM-A000655,AUTO_EXTRACTED
HERITAGE-HFM-A000656,封面,05 技术成果,HFM-A000656,AUTO_EXTRACTED
HERITAGE-HFM-A000657,正文1,05 技术成果,HFM-A000657,AUTO_EXTRACTED
HERITAGE-HFM-A000658,正文2,05 技术成果,HFM-A000658,AUTO_EXTRACTED
HERITAGE-HFM-A000659,正文3,05 技术成果,HFM-A000659,AUTO_EXTRACTED
HERITAGE-HFM-A000660,正文4,05 技术成果,HFM-A000660,AUTO_EXTRACTED
HERITAGE-HFM-A000661,正文5,05 技术成果,HFM-A000661,AUTO_EXTRACTED
HERITAGE-HFM-A000662,正文6,05 技术成果,HFM-A000662,AUTO_EXTRACTED
HERITAGE-HFM-A000663,目录,05 技术成果,HFM-A000663,AUTO_EXTRACTED
HERITAGE-HFM-A000664,首页,05 技术成果,HFM-A000664,AUTO_EXTRACTED
HERITAGE-HFM-A000665,19社科联项目立项证明,05 技术成果,HFM-A000665,AUTO_EXTRACTED
HERITAGE-HFM-A000666,19社科联项目结题证明,05 技术成果,HFM-A000666,AUTO_EXTRACTED
HERITAGE-HFM-A000667,2023结项证书 甘肃特色地域文化传承创新研究一一以皇甫谧文化传承创新路径研究为例,05 技术成果,HFM-A000667,AUTO_EXTRACTED
HERITAGE-HFM-A000668,1、协助中央广播电视台华语环球节目纪录片部拍摄《杏林繁华》工作方案,06 媒体报道,HFM-A000668,AUTO_EXTRACTED
HERITAGE-HFM-A000669,2、央视《魅力中国城》栏目参与证明材料,06 媒体报道,HFM-A000669,AUTO_EXTRACTED
HERITAGE-HFM-A000670,崆峒区,06 媒体报道,HFM-A000670,AUTO_EXTRACTED
HERITAGE-HFM-A000671,灵台县,06 媒体报道,HFM-A000671,AUTO_EXTRACTED
HERITAGE-HFM-A000672,甘肃卫视,06 媒体报道,HFM-A000672,AUTO_EXTRACTED
HERITAGE-HFM-A000673,甘肃卫视等栏目宣传报道截图或链接,06 媒体报道,HFM-A000673,AUTO_EXTRACTED
HERITAGE-HFM-A000674,静宁县,06 媒体报道,HFM-A000674,AUTO_EXTRACTED
HERITAGE-HFM-A000675,中央电视台拍摄函,06 媒体报道,HFM-A000675,AUTO_EXTRACTED
HERITAGE-HFM-A000676,央视图片证明材料,06 媒体报道,HFM-A000676,AUTO_EXTRACTED
HERITAGE-HFM-A000677,1、“刘君奇名中医工作室”成立及运行相关证明材料（崆峒区中医医院）,07 带徒传技与工作室成果,HFM-A000677,AUTO_EXTRACTED
