chapter_id,work_id,level,parent_id,title,order
CH-JIAYI-V01,WORK-JIAYI,1,,卷之一,1
CH-JIAYI-V01-P01,WORK-JIAYI,2,CH-JIAYI-V01,精神五臟論第一,1
CH-JIAYI-V01-P02,WORK-JIAYI,2,CH-JIAYI-V01,五臟變腧第二,2
CH-JIAYI-V01-P03,WORK-JIAYI,2,CH-JIAYI-V01,五臟六腑陰陽表裡第三,3
CH-JIAYI-V01-P04,WORK-JIAYI,2,CH-JIAYI-V01,五臟六腑官第四,4
CH-JIAYI-V01-P05,WORK-JIAYI,2,CH-JIAYI-V01,五臟大小六腑應候第五,5
CH-JIAYI-V01-P06,WORK-JIAYI,2,CH-JIAYI-V01,十二原第六,6
CH-JIAYI-V01-P07,WORK-JIAYI,2,CH-JIAYI-V01,十二經水第七,7
CH-JIAYI-V01-P08,WORK-JIAYI,2,CH-JIAYI-V01,四海第八,8
CH-JIAYI-V01-P09,WORK-JIAYI,2,CH-JIAYI-V01,氣息周身五十營四時十分漏刻第九,9
CH-JIAYI-V01-P10,WORK-JIAYI,2,CH-JIAYI-V01,營氣第十,10
CH-JIAYI-V01-P11,WORK-JIAYI,2,CH-JIAYI-V01,營衛三焦第十一,11
CH-JIAYI-V01-P12,WORK-JIAYI,2,CH-JIAYI-V01,陰陽清濁精氣津液血脈第十二,12
CH-JIAYI-V01-P13,WORK-JIAYI,2,CH-JIAYI-V01,津液五別第十三,13
CH-JIAYI-V01-P14,WORK-JIAYI,2,CH-JIAYI-V01,奇邪血絡第十四,14
CH-JIAYI-V01-P15,WORK-JIAYI,2,CH-JIAYI-V01,五色第十五,15
CH-JIAYI-V01-P16,WORK-JIAYI,2,CH-JIAYI-V01,陰陽二十五人形性血氣不同第十六,16
CH-JIAYI-V02,WORK-JIAYI,1,,卷之二,2
CH-JIAYI-V02-P01,WORK-JIAYI,2,CH-JIAYI-V02,十二經脈絡脈支別第一（上）,1
CH-JIAYI-V02-P02,WORK-JIAYI,2,CH-JIAYI-V02,十二經脈絡脈支別第一（下）,2
CH-JIAYI-V02-P03,WORK-JIAYI,2,CH-JIAYI-V02,奇經八脈第二,3
CH-JIAYI-V02-P04,WORK-JIAYI,2,CH-JIAYI-V02,脈度第三,4
CH-JIAYI-V02-P05,WORK-JIAYI,2,CH-JIAYI-V02,十二經標本第四,5
CH-JIAYI-V02-P06,WORK-JIAYI,2,CH-JIAYI-V02,經脈根結第五,6
CH-JIAYI-V02-P07,WORK-JIAYI,2,CH-JIAYI-V02,經筋第六,7
CH-JIAYI-V02-P08,WORK-JIAYI,2,CH-JIAYI-V02,骨度腸度腸胃所受第七,8
CH-JIAYI-V03,WORK-JIAYI,1,,卷之三,3
CH-JIAYI-V03-P01,WORK-JIAYI,2,CH-JIAYI-V03,頭直鼻中髮際傍行至頭維凡七穴　第一,1
CH-JIAYI-V03-P02,WORK-JIAYI,2,CH-JIAYI-V03,頭直鼻中入髮際一寸循督脈卻行至風府凡八穴　第二,2
CH-JIAYI-V03-P03,WORK-JIAYI,2,CH-JIAYI-V03,頭直俠督脈各一寸五分卻行至玉枕凡十穴　第三,3
CH-JIAYI-V03-P04,WORK-JIAYI,2,CH-JIAYI-V03,頭直目上入髮際五分卻行至腦空凡十穴　第四,4
CH-JIAYI-V03-P05,WORK-JIAYI,2,CH-JIAYI-V03,頭緣耳上卻行至完骨凡十二穴　第五,5
CH-JIAYI-V03-P06,WORK-JIAYI,2,CH-JIAYI-V03,頭自髮際中央傍行凡五穴　第六,6
CH-JIAYI-V03-P07,WORK-JIAYI,2,CH-JIAYI-V03,背自第一椎循督脈下行至脊凡十一穴　第七,7
CH-JIAYI-V03-P08,WORK-JIAYI,2,CH-JIAYI-V03,背自第一椎兩傍俠脊各一寸五分下至節凡四十二穴第八,8
CH-JIAYI-V03-P09,WORK-JIAYI,2,CH-JIAYI-V03,背自第二椎兩傍俠脊各三寸行至二十一椎下兩傍俠脊凡二十六穴第九,9
CH-JIAYI-V03-P10,WORK-JIAYI,2,CH-JIAYI-V03,面凡二十九穴第十,10
CH-JIAYI-V03-P11,WORK-JIAYI,2,CH-JIAYI-V03,耳前後凡二十穴　第十一,11
CH-JIAYI-V03-P12,WORK-JIAYI,2,CH-JIAYI-V03,頸凡十七穴　第十二,12
CH-JIAYI-V03-P13,WORK-JIAYI,2,CH-JIAYI-V03,肩凡二十八穴　第十三,13
CH-JIAYI-V03-P14,WORK-JIAYI,2,CH-JIAYI-V03,胸自天突循任脈下行至中庭凡七穴　第十四,14
CH-JIAYI-V03-P15,WORK-JIAYI,2,CH-JIAYI-V03,胸自輸府俠任脈兩傍各二寸下行至步廊凡十二穴　第十五,15
CH-JIAYI-V03-P16,WORK-JIAYI,2,CH-JIAYI-V03,胸自氣戶俠輸府兩傍各二寸下行至乳根凡十二穴　第十六,16
CH-JIAYI-V03-P17,WORK-JIAYI,2,CH-JIAYI-V03,胸自雲門俠氣戶兩傍各二寸下行至食竇凡十二穴　第十七,17
CH-JIAYI-V03-P18,WORK-JIAYI,2,CH-JIAYI-V03,腋脅下凡八穴　第十八,18
CH-JIAYI-V03-P19,WORK-JIAYI,2,CH-JIAYI-V03,腹自鳩尾循任脈下行至會陰凡十五穴　第十九,19
CH-JIAYI-V03-P20,WORK-JIAYI,2,CH-JIAYI-V03,腹自幽門挾巨闕兩傍各半寸循衝脈下行至橫骨凡二十一穴　第二十,20
CH-JIAYI-V03-P21,WORK-JIAYI,2,CH-JIAYI-V03,腹自不容俠幽門兩傍各一寸五分至氣沖凡二十三穴　第二十一,21
CH-JIAYI-V03-P22,WORK-JIAYI,2,CH-JIAYI-V03,腹自期門上直兩乳俠不容兩傍各一寸五分下行至沖門凡十四穴　第二十二,22
CH-JIAYI-V03-P23,WORK-JIAYI,2,CH-JIAYI-V03,腹自章門下行至居凡十二穴　第二十三,23
CH-JIAYI-V03-P24,WORK-JIAYI,2,CH-JIAYI-V03,手太陰及臂凡一十八穴　第二十四,24
CH-JIAYI-V03-P25,WORK-JIAYI,2,CH-JIAYI-V03,手厥陰心主及臂凡一十六穴　第二十五,25
CH-JIAYI-V03-P26,WORK-JIAYI,2,CH-JIAYI-V03,手少陰及臂凡一十六穴　第二十六,26
CH-JIAYI-V03-P27,WORK-JIAYI,2,CH-JIAYI-V03,手陽明及臂凡二十八穴　第二十七,27
CH-JIAYI-V03-P28,WORK-JIAYI,2,CH-JIAYI-V03,手少陽及臂凡二十四穴　第二十八,28
CH-JIAYI-V03-P29,WORK-JIAYI,2,CH-JIAYI-V03,手太陽凡一十六穴　第二十九,29
CH-JIAYI-V03-P30,WORK-JIAYI,2,CH-JIAYI-V03,足太陰及股凡二十二穴　第三十,30
CH-JIAYI-V03-P31,WORK-JIAYI,2,CH-JIAYI-V03,足厥陰及股凡二十二穴　第三十一,31
CH-JIAYI-V03-P32,WORK-JIAYI,2,CH-JIAYI-V03,足少陰及股並陰蹺陰維凡二十穴　第三十二,32
CH-JIAYI-V03-P33,WORK-JIAYI,2,CH-JIAYI-V03,足陽明及股凡三十穴　第三十三,33
CH-JIAYI-V03-P34,WORK-JIAYI,2,CH-JIAYI-V03,足少陽及股並陽維四穴凡二十八穴　第三十四,34
CH-JIAYI-V03-P35,WORK-JIAYI,2,CH-JIAYI-V03,足太陽及股並陽蹺六穴凡三十四穴　第三十五,35
CH-JIAYI-V04,WORK-JIAYI,1,,卷之四,4
CH-JIAYI-V04-P01,WORK-JIAYI,2,CH-JIAYI-V04,經脈第一（上）,1
CH-JIAYI-V04-P02,WORK-JIAYI,2,CH-JIAYI-V04,經脈第一（下）,2
CH-JIAYI-V04-P03,WORK-JIAYI,2,CH-JIAYI-V04,病形脈診第二（上）,3
CH-JIAYI-V04-P04,WORK-JIAYI,2,CH-JIAYI-V04,病形脈診第二（下）,4
CH-JIAYI-V04-P05,WORK-JIAYI,2,CH-JIAYI-V04,三部九候第三,5
CH-JIAYI-V05,WORK-JIAYI,1,,卷之五,5
CH-JIAYI-V05-P01,WORK-JIAYI,2,CH-JIAYI-V05,針灸禁忌第一（上）,1
CH-JIAYI-V05-P02,WORK-JIAYI,2,CH-JIAYI-V05,針灸禁忌第一（下）,2
CH-JIAYI-V05-P03,WORK-JIAYI,2,CH-JIAYI-V05,九針九變十二節五刺五邪第二,3
CH-JIAYI-V05-P04,WORK-JIAYI,2,CH-JIAYI-V05,繆刺第三,4
CH-JIAYI-V05-P05,WORK-JIAYI,2,CH-JIAYI-V05,針道第四,5
CH-JIAYI-V05-P06,WORK-JIAYI,2,CH-JIAYI-V05,針道終始第五,6
CH-JIAYI-V05-P07,WORK-JIAYI,2,CH-JIAYI-V05,針道自然逆順第六,7
CH-JIAYI-V05-P08,WORK-JIAYI,2,CH-JIAYI-V05,針道外揣縱舍第七,8
CH-JIAYI-V06,WORK-JIAYI,1,,卷之六,6
CH-JIAYI-V06-P01,WORK-JIAYI,2,CH-JIAYI-V06,八正八虛八風大論第一,1
CH-JIAYI-V06-P02,WORK-JIAYI,2,CH-JIAYI-V06,逆順病本末方宜形志大論第二,2
CH-JIAYI-V06-P03,WORK-JIAYI,2,CH-JIAYI-V06,五臟六腑虛實大論第三,3
CH-JIAYI-V06-P04,WORK-JIAYI,2,CH-JIAYI-V06,陰陽清濁順治逆亂大論第四,4
CH-JIAYI-V06-P05,WORK-JIAYI,2,CH-JIAYI-V06,四時賊風邪氣大論第五,5
CH-JIAYI-V06-P06,WORK-JIAYI,2,CH-JIAYI-V06,內外形診老壯肥瘦病旦慧夜甚大論第六,6
CH-JIAYI-V06-P07,WORK-JIAYI,2,CH-JIAYI-V06,陰陽大論第七,7
CH-JIAYI-V06-P08,WORK-JIAYI,2,CH-JIAYI-V06,正邪襲內生夢大論第八,8
CH-JIAYI-V06-P09,WORK-JIAYI,2,CH-JIAYI-V06,五味所宜五臟生病大論第九,9
CH-JIAYI-V06-P10,WORK-JIAYI,2,CH-JIAYI-V06,五臟傳病大論第十,10
CH-JIAYI-V06-P11,WORK-JIAYI,2,CH-JIAYI-V06,壽夭形診病候耐痛不耐痛大論第十一,11
CH-JIAYI-V06-P12,WORK-JIAYI,2,CH-JIAYI-V06,形氣盛衰大論第十二,12
CH-JIAYI-V07,WORK-JIAYI,1,,卷之七,7
CH-JIAYI-V07-P01,WORK-JIAYI,2,CH-JIAYI-V07,六經受病發傷寒熱病第一（上）,1
CH-JIAYI-V07-P02,WORK-JIAYI,2,CH-JIAYI-V07,六經受病發傷寒熱病第一（下）,2
CH-JIAYI-V07-P03,WORK-JIAYI,2,CH-JIAYI-V07,足陽明脈病發熱狂走第二,3
CH-JIAYI-V07-P04,WORK-JIAYI,2,CH-JIAYI-V07,陰衰發熱厥陽衰發寒厥第三,4
CH-JIAYI-V07-P05,WORK-JIAYI,2,CH-JIAYI-V07,太陽中風感於寒濕發第四,5
CH-JIAYI-V07-P06,WORK-JIAYI,2,CH-JIAYI-V07,陰陽相移發三瘧第五,6
CH-JIAYI-V08,WORK-JIAYI,1,,卷之八,8
CH-JIAYI-V08-P01,WORK-JIAYI,2,CH-JIAYI-V08,五臟傳病發寒熱第一（上）,1
CH-JIAYI-V08-P02,WORK-JIAYI,2,CH-JIAYI-V08,五臟傳病發寒熱第一（下）,2
CH-JIAYI-V08-P03,WORK-JIAYI,2,CH-JIAYI-V08,經絡受病入腸胃五臟積發伏梁息賁肥氣痞氣奔豚第二,3
CH-JIAYI-V08-P04,WORK-JIAYI,2,CH-JIAYI-V08,五臟六腑脹第三,4
CH-JIAYI-V08-P05,WORK-JIAYI,2,CH-JIAYI-V08,水膚脹鼓脹腸覃石瘕第四,5
CH-JIAYI-V08-P06,WORK-JIAYI,2,CH-JIAYI-V08,腎風發風水面腫第五,6
CH-JIAYI-V09,WORK-JIAYI,1,,卷之九,9
CH-JIAYI-V09-P01,WORK-JIAYI,2,CH-JIAYI-V09,大寒內薄骨髓陽逆發頭痛第一,1
CH-JIAYI-V09-P02,WORK-JIAYI,2,CH-JIAYI-V09,寒氣客於五臟六腑發卒心痛胸痺心疝三蟲第二,2
CH-JIAYI-V09-P03,WORK-JIAYI,2,CH-JIAYI-V09,邪在肺五臟六腑受病發咳逆上氣第三,3
CH-JIAYI-V09-P04,WORK-JIAYI,2,CH-JIAYI-V09,肝受病及衛氣留積發胸脅滿痛第四,4
CH-JIAYI-V09-P05,WORK-JIAYI,2,CH-JIAYI-V09,邪在心膽及諸臟腑發悲恐太息口苦不樂及驚第五,5
CH-JIAYI-V09-P06,WORK-JIAYI,2,CH-JIAYI-V09,脾受病發四肢不用第六,6
CH-JIAYI-V09-P07,WORK-JIAYI,2,CH-JIAYI-V09,脾胃大腸受病發腹脹滿腸中鳴短氣第七,7
CH-JIAYI-V09-P08,WORK-JIAYI,2,CH-JIAYI-V09,腎小腸受病發腹脹腰痛引背少腹控睪第八,8
CH-JIAYI-V09-P09,WORK-JIAYI,2,CH-JIAYI-V09,三焦膀胱受病發少腹腫不得小便第九,9
CH-JIAYI-V09-P10,WORK-JIAYI,2,CH-JIAYI-V09,三焦約內閉發不得大小便第十,10
CH-JIAYI-V09-P11,WORK-JIAYI,2,CH-JIAYI-V09,足厥陰脈動喜怒不時發疝遺溺癃第十一,11
CH-JIAYI-V09-P12,WORK-JIAYI,2,CH-JIAYI-V09,足太陽脈動發下部痔脫肛第十二,12
CH-JIAYI-V10,WORK-JIAYI,1,,卷之十,10
CH-JIAYI-V10-P01,WORK-JIAYI,2,CH-JIAYI-V10,陰受病發痺第一（上）,1
CH-JIAYI-V10-P02,WORK-JIAYI,2,CH-JIAYI-V10,陰受病發痺第一（下）,2
CH-JIAYI-V10-P03,WORK-JIAYI,2,CH-JIAYI-V10,陽受病發風第二（上）,3
CH-JIAYI-V10-P04,WORK-JIAYI,2,CH-JIAYI-V10,陽受病發風第二（下）,4
CH-JIAYI-V10-P05,WORK-JIAYI,2,CH-JIAYI-V10,八虛受病發拘攣第三,5
CH-JIAYI-V10-P06,WORK-JIAYI,2,CH-JIAYI-V10,熱在五臟發痿第四,6
CH-JIAYI-V10-P07,WORK-JIAYI,2,CH-JIAYI-V10,手太陰陽明太陽少陽脈動發肩背痛肩前皆痛肩似拔第五,7
CH-JIAYI-V10-P08,WORK-JIAYI,2,CH-JIAYI-V10,水漿不消發飲第六,8
CH-JIAYI-V11,WORK-JIAYI,1,,卷之十一,11
CH-JIAYI-V11-P01,WORK-JIAYI,2,CH-JIAYI-V11,胸中寒發脈代第一,1
CH-JIAYI-V11-P02,WORK-JIAYI,2,CH-JIAYI-V11,陽厥大驚發狂癇第二,2
CH-JIAYI-V11-P03,WORK-JIAYI,2,CH-JIAYI-V11,陽脈下墜陰脈上爭發尸厥第三,3
CH-JIAYI-V11-P04,WORK-JIAYI,2,CH-JIAYI-V11,氣亂於腸胃發霍亂吐下第四,4
CH-JIAYI-V11-P05,WORK-JIAYI,2,CH-JIAYI-V11,足太陰厥脈病發溏泄下痢第五,5
CH-JIAYI-V11-P06,WORK-JIAYI,2,CH-JIAYI-V11,五氣溢發消渴黃癉第六,6
CH-JIAYI-V11-P07,WORK-JIAYI,2,CH-JIAYI-V11,動作失度內外傷發崩中瘀血嘔血唾血第七,7
CH-JIAYI-V11-P08,WORK-JIAYI,2,CH-JIAYI-V11,邪氣聚於下脘發內癰第八,8
CH-JIAYI-V11-P09,WORK-JIAYI,2,CH-JIAYI-V11,寒氣客於經絡之中發癰疽風成發厲浸淫第九（上）,9
CH-JIAYI-V11-P10,WORK-JIAYI,2,CH-JIAYI-V11,寒氣客於經絡之中發癰疽風成發厲浸淫第九（下）,10
CH-JIAYI-V12,WORK-JIAYI,1,,卷之十二,12
CH-JIAYI-V12-P01,WORK-JIAYI,2,CH-JIAYI-V12,欠噦唏振寒噫嚏泣出太息㵪下耳鳴囓舌善忘善飢第一,1
CH-JIAYI-V12-P02,WORK-JIAYI,2,CH-JIAYI-V12,寒氣客於厭發喑不能言第二,2
CH-JIAYI-V12-P03,WORK-JIAYI,2,CH-JIAYI-V12,目不得眠不得視及多臥臥不安不得偃臥肉苛諸息有音及喘第三,3
CH-JIAYI-V12-P04,WORK-JIAYI,2,CH-JIAYI-V12,足太陽陽明手少陽脈動發目病第四,4
CH-JIAYI-V12-P05,WORK-JIAYI,2,CH-JIAYI-V12,手太陽少陽脈動發耳病第五,5
CH-JIAYI-V12-P06,WORK-JIAYI,2,CH-JIAYI-V12,手足陽明脈動發口齒病第六,6
CH-JIAYI-V12-P07,WORK-JIAYI,2,CH-JIAYI-V12,血溢發衄第七,7
CH-JIAYI-V12-P08,WORK-JIAYI,2,CH-JIAYI-V12,手足陽明少陽脈動發喉痺咽痛第八,8
CH-JIAYI-V12-P09,WORK-JIAYI,2,CH-JIAYI-V12,氣有所結發瘤癭第九,9
CH-JIAYI-V12-P10,WORK-JIAYI,2,CH-JIAYI-V12,婦人雜病第十,10
CH-JIAYI-V12-P11,WORK-JIAYI,2,CH-JIAYI-V12,小兒雜病第十一,11
