EDITION_ID,ASSET_ID,TITLE,EDITION_TYPE,PAGES,RELATION_BASIS,RELATION_NOTE,REVIEW_STATUS
EDITION-HFM-A000529,HFM-A000529,10023266.pdf,UNKNOWN,243,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000530,HFM-A000530,10023267.pdf,UNKNOWN,159,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000531,HFM-A000531,10023268.pdf,UNKNOWN,156,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000532,HFM-A000532,10023609.pdf,UNKNOWN,354,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000533,HFM-A000533,《甲乙经》五车楼藏板 2.pdf,FACSIMILE(明万历吴勉学刻),176,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000534,HFM-A000534,《甲乙经》五车楼藏板 3.pdf,FACSIMILE(明万历吴勉学刻),137,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000535,HFM-A000535,《甲乙经》五车楼藏板 4.pdf,FACSIMILE(明万历吴勉学刻),134,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000536,HFM-A000536,《甲乙经》五车楼藏板1.pdf,FACSIMILE(明万历吴勉学刻),125,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000537,HFM-A000537,《甲乙经》行素草堂藏板清光绪卷一二.pdf,FACSIMILE(清光绪刻),132,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000538,HFM-A000538,《甲乙经》行素草堂藏板清光绪卷三四.pdf,FACSIMILE(清光绪刻),129,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000539,HFM-A000539,《甲乙经》行素草堂藏板清光绪卷五-七.pdf,FACSIMILE(清光绪刻),156,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000540,HFM-A000540,《甲乙经》行素草堂藏板清光绪卷八-十二.pdf,FACSIMILE(清光绪刻),169,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000541,HFM-A000541,《针灸甲乙经、伤寒论、金匮要略、温病学》精译.pdf,UNKNOWN,913,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000547,HFM-A000547,《针灸甲乙经》四库全书本卷一.pdf,FACSIMILE(清乾隆四库),102,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000548,HFM-A000548,《针灸甲乙经》四库全书本卷七.pdf,FACSIMILE(清乾隆四库),76,,UNKNOWN,NEEDS_REVIEW
EDITION-HFM-A000549,HFM-A000549,《针灸甲乙经》四库全书本卷三.pdf,FACSIMILE(清乾隆四库),126,,UNKNOWN,NEEDS_REVIEW
