LINK_ID,WORK_ID,DOCUMENT_ID,ASSET_ID,PAGE,SOURCE_PDF,SHA256,OUTPUT_FILE,LAYER
JIAYI-PAGE-HFM-A000013-1,WORK-JIAYI,DOC-HFM-A000013,HFM-A000013,1,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,TEXT
JIAYI-PAGE-HFM-A000013-2,WORK-JIAYI,DOC-HFM-A000013,HFM-A000013,2,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,TEXT
JIAYI-PAGE-HFM-A000013-3,WORK-JIAYI,DOC-HFM-A000013,HFM-A000013,3,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,TEXT
JIAYI-PAGE-HFM-A000013-4,WORK-JIAYI,DOC-HFM-A000013,HFM-A000013,4,针灸甲乙经/论文/针灸甲乙经/1-《针灸甲乙经》的读法.pdf,cb31884b4a2666bdd5c9c7d33d0e1451bf008760c7a52de616eb61364c0a8b44,content-production/batches/B02/extracted-text/HFM-A000013_raw.txt,TEXT
JIAYI-PAGE-HFM-A000014-1,WORK-JIAYI,DOC-HFM-A000014,HFM-A000014,1,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,content-production/corpus/extracted-text/HFM-A000014_raw.txt,TEXT
JIAYI-PAGE-HFM-A000014-2,WORK-JIAYI,DOC-HFM-A000014,HFM-A000014,2,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,content-production/corpus/extracted-text/HFM-A000014_raw.txt,TEXT
JIAYI-PAGE-HFM-A000014-3,WORK-JIAYI,DOC-HFM-A000014,HFM-A000014,3,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,content-production/corpus/extracted-text/HFM-A000014_raw.txt,TEXT
JIAYI-PAGE-HFM-A000014-4,WORK-JIAYI,DOC-HFM-A000014,HFM-A000014,4,针灸甲乙经/论文/针灸甲乙经/10-《针灸甲乙经》论治不孕症探析.pdf,9be9e03c0c052484be379108be715788aef1c3b199c889b17340739a27ddc8f1,content-production/corpus/extracted-text/HFM-A000014_raw.txt,TEXT
JIAYI-PAGE-HFM-A000015-1,WORK-JIAYI,DOC-HFM-A000015,HFM-A000015,1,针灸甲乙经/论文/针灸甲乙经/100-《针灸甲乙经》中胸胁满痛的治疗特色探赜.pdf,9563090f7004949467514da066771af951a80890edfd1fd0b10984e5d83070c3,content-production/corpus/extracted-text/HFM-A000015_raw.txt,TEXT
JIAYI-PAGE-HFM-A000015-2,WORK-JIAYI,DOC-HFM-A000015,HFM-A000015,2,针灸甲乙经/论文/针灸甲乙经/100-《针灸甲乙经》中胸胁满痛的治疗特色探赜.pdf,9563090f7004949467514da066771af951a80890edfd1fd0b10984e5d83070c3,content-production/corpus/extracted-text/HFM-A000015_raw.txt,TEXT
