CANDIDATE_ID,OBJECT_TYPE,NAME,MENTIONS,MODE,REVIEW_STATUS
K-ACUPOINT-合谷,ACUPOINT,合谷,377,DISCOVERY_ONLY,AUTO_EXTRACTED
K-ACUPOINT-足三里,ACUPOINT,足三里,341,DISCOVERY_ONLY,AUTO_EXTRACTED
K-ACUPOINT-三阴交,ACUPOINT,三阴交,304,DISCOVERY_ONLY,AUTO_EXTRACTED
K-ACUPOINT-内关,ACUPOINT,内关,265,DISCOVERY_ONLY,AUTO_EXTRACTED
K-ACUPOINT-曲池,ACUPOINT,曲池,181,DISCOVERY_ONLY,AUTO_EXTRACTED
K-MERIDIAN-督脉,MERIDIAN,督脉,721,DISCOVERY_ONLY,AUTO_EXTRACTED
K-MERIDIAN-足太阳,MERIDIAN,足太阳,504,DISCOVERY_ONLY,AUTO_EXTRACTED
K-MERIDIAN-任脉,MERIDIAN,任脉,426,DISCOVERY_ONLY,AUTO_EXTRACTED
K-MERIDIAN-足阳明,MERIDIAN,足阳明,377,DISCOVERY_ONLY,AUTO_EXTRACTED
K-MERIDIAN-手太阴,MERIDIAN,手太阴,148,DISCOVERY_ONLY,AUTO_EXTRACTED
K-DISEASE-头痛,DISEASE,头痛,805,DISCOVERY_ONLY,AUTO_EXTRACTED
K-DISEASE-中风,DISEASE,中风,471,DISCOVERY_ONLY,AUTO_EXTRACTED
K-DISEASE-不孕,DISEASE,不孕,303,DISCOVERY_ONLY,AUTO_EXTRACTED
K-DISEASE-失眠,DISEASE,失眠,267,DISCOVERY_ONLY,AUTO_EXTRACTED
K-DISEASE-耳鸣,DISEASE,耳鸣,213,DISCOVERY_ONLY,AUTO_EXTRACTED
K-DISEASE-癫痫,DISEASE,癫痫,103,DISCOVERY_ONLY,AUTO_EXTRACTED
K-SYMPTOM-狂证,SYMPTOM,狂证,49,DISCOVERY_ONLY,AUTO_EXTRACTED
K-SYMPTOM-胸胁满,SYMPTOM,胸胁满,48,DISCOVERY_ONLY,AUTO_EXTRACTED
K-SYMPTOM-癫证,SYMPTOM,癫证,44,DISCOVERY_ONLY,AUTO_EXTRACTED
K-SYMPTOM-痫证,SYMPTOM,痫证,37,DISCOVERY_ONLY,AUTO_EXTRACTED
K-TREATMENT-针刺,TREATMENT,针刺,3680,DISCOVERY_ONLY,AUTO_EXTRACTED
K-TREATMENT-灸法,TREATMENT,灸法,537,DISCOVERY_ONLY,AUTO_EXTRACTED
K-TREATMENT-电针,TREATMENT,电针,369,DISCOVERY_ONLY,AUTO_EXTRACTED
K-TREATMENT-刺络,TREATMENT,刺络,167,DISCOVERY_ONLY,AUTO_EXTRACTED
K-METHOD-补泻,METHOD,补泻,287,DISCOVERY_ONLY,AUTO_EXTRACTED
K-METHOD-迎随,METHOD,迎随,18,DISCOVERY_ONLY,AUTO_EXTRACTED
