PAPER_ID,TITLE,AUTHOR,YEAR,JOURNAL,KEYWORDS,SUBJECT,RELATED_PERSON,RELATED_JIAYI_SECTION,SOURCE_ASSET_ID
PAPER-HFM-A000013,1-《针灸甲乙经》的读法,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000013
PAPER-HFM-A000014,10-《针灸甲乙经》论治不孕症探析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000014
PAPER-HFM-A000015,100-《针灸甲乙经》中胸胁满痛的治疗特色探赜,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000015
PAPER-HFM-A000016,101-《针灸甲乙经》诊治目病的学术特色探析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000016
PAPER-HFM-A000017,102-《针灸甲乙经》治疗耳鸣耳聋的特点分析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000017
PAPER-HFM-A000018,104-《针灸甲乙经》学术思想及针灸治疗癫痫的探究,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000018
PAPER-HFM-A000019,106-浅析《针灸甲乙经》对背俞穴的认识与应用,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000019
PAPER-HFM-A000020,107-《针灸甲乙经》刺络疗法操作方法特点初探,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000020
PAPER-HFM-A000021,108-探索《针灸甲乙经》中针灸治疗狂证的经络运用规律,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000021
PAPER-HFM-A000022,109-《针灸大成》对《针灸甲乙经》针刺理论的继承与发展,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000022
PAPER-HFM-A000023,11-《针灸甲乙经》处方配穴特点分析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000023
PAPER-HFM-A000024,111-探讨《针灸甲乙经》对针刺治疗精神疾病的认识及论治,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000024
PAPER-HFM-A000025,113-浅述《针灸甲乙经》腧穴刺灸学成就,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000025
PAPER-HFM-A000026,116-探索《针灸甲乙经》中针灸治疗癫证的特定穴运用规律,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000026
PAPER-HFM-A000027,12-基于《针灸甲乙经》探讨上巨虚的临床作用,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000027
PAPER-HFM-A000028,120-基于数据挖掘《针灸甲乙经》针刺处方及其腧穴配伍规律的研究,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000028
PAPER-HFM-A000029,121-探索《针灸甲乙经》中针灸治疗小儿痫证的经络运用规律,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000029
PAPER-HFM-A000030,125-吴春平教授运用《针灸甲乙经》中针刺处方治疗心系疾病经验,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000030
PAPER-HFM-A000031,129-探索《针灸甲乙经》中针灸治疗小儿痫证的特定穴运用规律,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000031
PAPER-HFM-A000032,13-《针灸甲乙经》治疗失音的理论分析,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000032
PAPER-HFM-A000033,130-《黄帝内经》和《针灸甲乙经》中安全针刺操作要素的初步研究,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000033
PAPER-HFM-A000034,135-皇甫宏著承先启后——晋朝高秀皇甫谧及其《针灸甲乙经》,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,皇甫谧,UNKNOWN,HFM-A000034
PAPER-HFM-A000035,14-《针灸甲乙经》语词杂释,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000035
PAPER-HFM-A000036,148-白浊的出处是《针灸甲乙经》,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,甲乙经,,UNKNOWN,HFM-A000036
