PERSON_ID,CANONICAL_NAME,ALIASES,BIRTH_DEATH,PERSON_TYPE,ROLE,SOURCE_FORMS,SURFACE_ROLE,REVIEW_STATUS
PERSON-HFM-HUANGFUMI,皇甫谧,"士安(据后世引文,待核)",,name:PERSON,PLANNING_DOCS+论文语料,皇甫谧/其传其言后论(规划文档)+论文语料,MAIN,NEEDS_REVIEW
PERSON-LEFT-SI,左思,,,name:PERSON,三都赋序关联,其言[P3],RELATED,NEEDS_REVIEW
PERSON-SIMA-YAN,司马炎(晋武帝),,,name:PERSON,评价者,后论[T0R1],RELATED,NEEDS_REVIEW
PERSON-LIANG-LIU,梁柳,,,name:PERSON,亲属(姑母之子)/太守,后论[T0R12],RELATED,NEEDS_REVIEW
PERSON-LI-JULAI,李巨来(清),,,name:PERSON,评价者,后论[T0R5],RELATED,NEEDS_REVIEW
PERSON-QIAN-XIZUO,钱熙祚(清),,,name:PERSON,评价者,后论[T0R6],RELATED,NEEDS_REVIEW
PERSON-QIAN-CHAOCHEN,钱超尘,,,name:PERSON,《皇甫谧研究集成》主编,后论[T2R4],SCHOLAR,NEEDS_REVIEW
PERSON-WEN-CHANGLU,温长路,,,name:PERSON,《皇甫谧研究集成》主编,后论[T2R4],SCHOLAR,NEEDS_REVIEW
PERSON-SHI-XINGHAI,史星海,,,name:PERSON,《皇甫谧遗著集》主编,后论[T2R5],SCHOLAR,NEEDS_REVIEW
PERSON-LI-ZHIFENG,李志锋,,,name:PERSON,皇甫谧针灸市级非遗传承人/作者,后论[T2R6/T2R7]+非遗文件名,INHERITOR,NEEDS_REVIEW
PERSON-LIU-JUNQI,刘君奇,,,name:PERSON,非遗/技术成果人名(文件名),非遗佐证路径文件名,INHERITOR,AUTO_EXTRACTED
PERSON-ZHANG-FARONG,张发荣,,,name:PERSON,现代诗评者,后论[T0R7],RELATED,NEEDS_REVIEW
PERSON-HUANGLONGXIANG,黄龙祥,,,name:PERSON,《黄帝针灸甲乙经新校本》作者,版本目录文件名,SCHOLAR,AUTO_EXTRACTED
PERSON-LI-DING,李鼎,,,name:PERSON,《针灸甲乙经理论与实践》作者,版本目录文件名,SCHOLAR,AUTO_EXTRACTED
PERSON-GAO-SHUZHONG,高树中,,,name:PERSON,《针灸甲乙经理论与实践》作者(2017),版本目录文件名,SCHOLAR,AUTO_EXTRACTED
PERSON-WANG-JUN,王军,,,name:PERSON,《针灸甲乙经新校版》作者,版本目录文件名,SCHOLAR,AUTO_EXTRACTED
PERSON-WU-MIANXUE,吴勉学(明),,,name:PERSON,医统正脉全书刊刻者,版本目录文件名,PRINTER,AUTO_EXTRACTED
