ITEM_ID,PRIORITY,CLASSIFICATION
HFM-A000416,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000418,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000420,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000421,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000428,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000490,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000491,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000492,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000497,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000498,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000502,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000504,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000505,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000507,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000508,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000509,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000510,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000512,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000513,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000529,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000530,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000531,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000532,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000533,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000534,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000535,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000536,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000537,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000538,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000539,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000540,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000541,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000542,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000543,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000544,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000545,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000546,R1_CORE_STRUCTURE,PARTIAL_BLOCKS_CORE_CONTENT
HFM-A000547,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
HFM-A000548,R3_LOW_VALUE,PARTIAL_NEEDS_REPROCESSING
